db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
LSM Tree,get,100,7,0.07,14285714.285714284
LSM Tree,delete,10,3,0.3,3333333.3333333335
LSM Tree,range,10,1,0.1,10000000
LSM Tree,put,1000,1145,1.145,873362.4454148471
LSM Tree,get,100,36,0.36,2777777.777777778
LSM Tree,delete,10,19,1.9,526315.7894736843
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,1280,1.28,781250
LSM Tree,get,100,38,0.38,2631578.947368421
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,8,0.8,1250000
LSM Tree,put,1000,1245,1.245,803212.8514056224
LSM Tree,get,100,39,0.39,2564102.564102564
LSM Tree,delete,10,21,2.1,476190.47619047615
LSM Tree,range,10,6,0.6,1666666.6666666667
LSM Tree,put,1000,753,0.753,1328021.2483399734
LSM Tree,get,100,40,0.4,2500000
LSM Tree,delete,10,12,1.2,833333.3333333334
LSM Tree,range,10,4,0.4,2500000
RocksDB,put,1000,6598,6.598,151561.0791148833
RocksDB,get,100,605,6.05,165289.2561983471
RocksDB,delete,10,141,14.1,70921.98581560283
RocksDB,range,10,400,40,25000
RocksDB,put,1000,6983,6.983,143204.926249463
RocksDB,get,100,642,6.42,155763.2398753894
RocksDB,delete,10,140,14,71428.57142857143
RocksDB,range,10,391,39.1,25575.44757033248
RocksDB,put,1000,7649,7.649,130736.04392731076
RocksDB,get,100,708,7.08,141242.93785310735
RocksDB,delete,10,205,20.5,48780.48780487805
RocksDB,range,10,433,43.3,23094.68822170901
RocksDB,put,1000,5568,5.568,179597.7011494253
RocksDB,get,100,510,5.1,196078.43137254904
RocksDB,delete,10,111,11.1,90090.09009009009
RocksDB,range,10,330,33,30303.030303030304
RocksDB,put,1000,6611,6.611,151263.04643775526
RocksDB,get,100,613,6.13,163132.1370309951
RocksDB,delete,10,152,15.2,65789.47368421053
RocksDB,range,10,389,38.9,25706.94087403599
RocksDB,put,1000,6140,6.14,162866.44951140066
RocksDB,get,100,572,5.72,174825.17482517482
RocksDB,delete,10,139,13.9,71942.44604316546
RocksDB,range,10,382,38.2,26178.010471204187
RocksDB,put,1000,5938,5.938,168406.87100033683
RocksDB,get,100,562,5.62,177935.94306049822
RocksDB,delete,10,134,13.4,74626.86567164179
RocksDB,range,10,356,35.6,28089.887640449437
RocksDB,put,1000,6207,6.207,161108.42597067828
RocksDB,get,100,569,5.69,175746.92442882247
RocksDB,delete,10,122,12.2,81967.21311475411
RocksDB,range,10,380,38,26315.78947368421
RocksDB,put,1000,6228,6.228,160565.1894669236
RocksDB,get,100,585,5.85,170940.17094017094
RocksDB,delete,10,138,13.8,72463.76811594203
RocksDB,range,10,379,37.9,26385.224274406333
RocksDB,put,1000,6552,6.552,152625.15262515264
RocksDB,get,100,623,6.23,160513.64365971106
RocksDB,delete,10,142,14.2,70422.5352112676
RocksDB,range,10,412,41.2,24271.844660194172
RocksDB,put,1000,6133,6.133,163052.33980107616
RocksDB,get,100,581,5.81,172117.03958691913
RocksDB,delete,10,125,12.5,80000
RocksDB,range,10,360,36,27777.777777777777
RocksDB,put,1000,5979,5.979,167252.04883759827
RocksDB,get,100,554,5.54,180505.41516245488
RocksDB,delete,10,125,12.5,80000
RocksDB,range,10,347,34.7,28818.44380403458
RocksDB,put,1000,7090,7.09,141043.72355430183
RocksDB,get,100,644,6.44,155279.50310559006
RocksDB,delete,10,142,14.2,70422.5352112676
RocksDB,range,10,409,40.9,24449.87775061125
RocksDB,put,1000,6389,6.389,156519.01706057286
RocksDB,get,100,588,5.88,170068.02721088435
RocksDB,delete,10,129,12.9,77519.37984496124
RocksDB,range,10,366,36.6,27322.4043715847
RocksDB,put,1000,6631,6.631,150806.81646810434
RocksDB,get,100,617,6.17,162074.55429497568
RocksDB,delete,10,135,13.5,74074.07407407407
RocksDB,range,10,375,37.5,26666.666666666668
RocksDB,put,1000,6618,6.618,151103.05228165607
RocksDB,get,100,627,6.27,159489.6331738437
RocksDB,delete,10,160,16,62500
RocksDB,range,10,418,41.8,23923.444976076556
RocksDB,put,1000,5293,5.293,188928.7738522577
RocksDB,get,100,484,4.84,206611.57024793388
RocksDB,delete,10,106,10.6,94339.62264150944
RocksDB,range,10,327,32.7,30581.039755351678
RocksDB,put,1000,4317,4.317,231642.3442205235
RocksDB,get,100,388,3.88,257731.9587628866
RocksDB,delete,10,117,11.7,85470.08547008547
RocksDB,range,10,316,31.6,31645.56962025316
RocksDB,put,1000,6460,6.46,154798.76160990712
RocksDB,get,100,603,6.03,165837.4792703151
RocksDB,delete,10,150,15,66666.66666666667
RocksDB,range,10,405,40.5,24691.35802469136
RocksDB,put,1000,6493,6.493,154012.01293700907
RocksDB,get,100,595,5.95,168067.22689075628
RocksDB,delete,10,130,13,76923.07692307692
RocksDB,range,10,384,38.4,26041.666666666668
RocksDB,put,1000,6568,6.568,152253.34957369062
RocksDB,get,100,608,6.08,164473.68421052632
RocksDB,delete,10,133,13.3,75187.96992481203
RocksDB,range,10,383,38.3,26109.660574412534
RocksDB,put,1000,7509,7.509,133173.52510320948
RocksDB,get,100,681,6.81,146842.87812041116
RocksDB,delete,10,155,15.5,64516.12903225807
RocksDB,range,10,448,44.8,22321.428571428572
RocksDB,put,1000,6458,6.458,154846.7017652524
RocksDB,get,100,593,5.93,168634.06408094437
RocksDB,delete,10,154,15.4,64935.06493506493
RocksDB,range,10,382,38.2,26178.010471204187
RocksDB,put,1000,6463,6.463,154726.9070091289
RocksDB,get,100,605,6.05,165289.2561983471
RocksDB,delete,10,134,13.4,74626.86567164179
RocksDB,range,10,406,40.6,24630.54187192118
RocksDB,put,1000,5884,5.884,169952.4133242692
RocksDB,get,100,554,5.54,180505.41516245488
RocksDB,delete,10,117,11.7,85470.08547008547
RocksDB,range,10,345,34.5,28985.507246376812
RocksDB,put,1000,6921,6.921,144487.79078167895
RocksDB,get,100,628,6.28,159235.6687898089
RocksDB,delete,10,142,14.2,70422.5352112676
RocksDB,range,10,393,39.3,25445.29262086514
RocksDB,put,1000,6510,6.51,153609.83102918588
RocksDB,get,100,597,5.97,167504.18760469012
RocksDB,delete,10,133,13.3,75187.96992481203
RocksDB,range,10,384,38.4,26041.666666666668
RocksDB,put,1000,7503,7.503,133280.0213248034
RocksDB,get,100,695,6.95,143884.89208633092
RocksDB,delete,10,157,15.7,63694.26751592357
RocksDB,range,10,461,46.1,21691.973969631235
RocksDB,put,1000,6287,6.287,159058.3744234134
RocksDB,get,100,578,5.78,173010.38062283737
RocksDB,delete,10,128,12.8,78125
RocksDB,range,10,366,36.6,27322.4043715847
RocksDB,put,1000,5948,5.948,168123.73907195695
RocksDB,get,100,538,5.38,185873.6059479554
RocksDB,delete,10,116,11.6,86206.89655172414
RocksDB,range,10,358,35.8,27932.96089385475
RocksDB,put,1000,7842,7.842,127518.49018107627
